"11ch -- Domestic violence and intimate partner violence reported as an offence, 2009-2019"

"Year";"Victim's sex";"Mode of housing";"Relation between the victim and the suspect";"Victim's age";"Suspect's sex";"Offence";"Number of victims"
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Assault 21:5";4
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect males";"Menace 25:7§";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";3
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Assault 21:5";91
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Robbery 31:1-2";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"35 - 44";"Suspect females";"Menace 25:7§";7
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Assault 21:5";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Assault 21:5";63
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"45 - 54";"Suspect females";"Menace 25:7§";5
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Assault 21:5";26
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"55 - 64";"Suspect females";"Menace 25:7§";5
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";1
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Assault 21:5";15
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Between spouses and co-habitating partners total";"65 -";"Suspect females";"Menace 25:7§";4
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"0 - 4";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"5 - 9";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"10 - 14";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"15 - 17";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"18 - 20";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"25 - 34";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Assault 21:5";3
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"35 - 44";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Assault 21:5";4
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"45 - 54";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Assault 21:5";1
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"55 - 64";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Former spouse";"65 -";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect males";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Extortion, aggravated extortion 31:3,4";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Deprivation of personal liberty 25:1-2§";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"0 - 4";"Suspect females";"Menace 25:7§";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"5 - 9";"Suspect males";"Rape, aggravated rape, rape (3 mom) 20:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"5 - 9";"Suspect males";"Attempted manslaughter, murder or killing 21:1-3,34a:1";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"5 - 9";"Suspect males";"Assault 21:5";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"5 - 9";"Suspect males";"Robbery 31:1-2";0
"2019";"Male victims";"Same household-dwelling unit";"Cousin";"5 - 9";"Suspect males";"Extortion, aggravated extortion 31:3,4";0
